date,vehicle,property,personal,credit card,consumer loan
2020-01-01,6124.9,16012.4,5454.7,3475,0
2020-02-01,6715.4,20117.8,5579.1,3120.6,0
2020-03-01,5062.5,17766.8,4785.4,2963.9,0
2020-04-01,642.8,6665.8,1656.5,1270.8,0
2020-05-01,2656.1,10453.8,2129,1176.5,0
2020-06-01,7627.5,25428.9,4397.4,2329.7,0
2020-07-01,9689.1,29907.8,5517.2,3383.2,0.1
2020-08-01,8138.4,27450.4,5168.5,3015,0
2020-09-01,8602.1,30939.5,6223.2,3313.6,5.5
2020-10-01,7224.3,29062.5,5934.9,2868,4.2
2020-11-01,8242.3,26349.5,5736.7,3070.7,0
2020-12-01,8091.8,26289.8,5680.4,3123.5,0
